'TITLE',"'AUTHOR (first, last)'","'AUTHOR (last, first)'",'DATE','LCC','DDC','ISBNs',"'PUBLICATION INFO'",'COMMENT','RATINGS','REVIEWS',"'ENTRY DATE'",'COPIES','SUBJECTS','COLLECTIONS','TAGS'
"Slaughterhouse-Five: A Novel (Modern Library 100 Best Novels)","Kurt Vonnegut","Vonnegut, Kurt",1999,,,[0385333846],"Dial Press Trade Paperback (1999), Edition: Reissue, Paperback, 288 pages",,0,,"2014-01-21 18:50:22",1,"Extraterrestrial beings > Fiction
Features
Free will and determinism > Fiction
Historical fiction > 
Historical fiction
Large type books > 
Large type books
Prisoners of war > United States > Fiction
Science fiction > 
Science fiction
Science fiction, American > History and criticism > 
Time travel > Fiction
Videodiscs
Vonnegut, Kurt. Slaughterhouse five > 
War films and programs
War stories > 
War stories
World War, 1939-1945 > Fiction > 
World War, 1939-1945 > Fiction
World War, 1939-1945 > Prisoners and prisons, German > Fiction","Your library","war,WWII,time travel,asburdism,novel,RECOMMENDER:Jesse"
"The Difference Engine: Charles Babbage and the Quest to Build the First Computer","Doron Swade","Swade, Doron",2001,,,[0670910201],"Viking Adult (2001), Hardcover, 352 pages",,0,,"2014-01-21 18:50:22",1,"Babbage, Charles, 1791-1871 > 
Calculators > Great Britain > History > 19th century > 
Calculators > Great Britain > History
Calculators > History > 
Calculators > History
Mathematicians > Great Britain > Biography > 
Mathematicians > Great Britain > Biography","Your library","computers,history,nonfiction"
"The Strategy of Conflict","Thomas C. Schelling","Schelling, Thomas C.",1981,,,[0674840313],"Harvard University Press (1981), Paperback, 328 pages",,0,,"2014-01-21 18:50:23",1,"Games of strategy (Mathematics) > 
Games of strategy (Mathematics)
Negotiation > 
Negotiation","Your library","game theory,politics,cold war,psychology,nonfiction,RECOMMENDER:Jesse"
"Quicksilver (The Baroque Cycle, Vol. 1)","Neal Stephenson","Stephenson, Neal",2004,,,[0060593083],"William Morrow Paperbacks (2004), Paperback, 917 pages",,0,,"2014-01-21 18:50:23",1,"Adventure and adventurers > Fiction > 
Adventure and adventurers > Fiction
Adventure fiction > 
Adventure fiction
Adventure stories > 
Adventure stories
Alchemists > Fiction > 
Alchemists > Fiction
American literature
Eighteenth century > Fiction > 
Eighteenth century > Fiction
Great Britain > Fiction. > Stuarts, 1603-1714
Great Britain > History > Stuarts, 1603-1714 > Fiction > 
Historical fiction > 
Historical fiction
Puritans > Fiction > 
Puritans > Fiction
Rogues and vagabonds > Fiction > 
Rogues and vagabonds > Fiction
Scientists > Fiction > 
Scientists > Fiction
Seventeenth century > Fiction > 
Seventeenth century > Fiction","Your library","historical fiction,royal society,england,alternate history,novel,RECOMMENDER:Sigmund"
"Spook: Science Tackles the Afterlife","Mary Roach","Roach, Mary",2006,,,[0393329127],"W. W. Norton & Company (2006), Edition: 1st, Paperback, 311 pages",,0,,"2014-01-21 18:50:23",1,"Death
Future life > 
Future life
Religion and science > 
Religion and science
Soul","Your library","occult,religion,death,ghosts,science,nonfiction"
"Red Mars","Kim Stanley Robinson","Robinson, Kim Stanley",2001,,,[0007115903],"Trafalgar Square (2001), Paperback, 672 pages",,0,,"2014-01-21 18:50:23",1,"Life on other planets > Fiction
Mars (Planet) > Fiction > 
Mars (Planet) > Fiction
Science fiction > 
Science fiction
Science fiction, American","Your library","space travel,mars,terraforming,novel"
"The Grimoire of Armadel","S. L. MacGregor Mathers","Mathers, S. L. MacGregor",2001,,,[1578632412],"Weiser Books (2001), Paperback, 88 pages",,0,,"2014-01-21 18:50:23",1,"Bible and theosophy > 
Bible and theosophy
Magic > 
Magic
Sigils > 
Sigils","Your library","grimoire,occult,sigils,nonfiction,primary source"
"Kindred (Bluestreak)","Octavia Butler","Butler, Octavia",2004,,,[0807083690],"Beacon Press (2004), Edition: 25th Anniversary, Paperback, 287 pages",,0,,"2014-01-21 18:50:23",1,"African American women > Fiction > 
African American women > Fiction
Los Angeles (Calif.) > Fiction > 
Los Angeles (Calif.) > Fiction
Psychological fiction > 
Psychological fiction
Science fiction > 
Science fiction
Slaveholders > Fiction > 
Slaveholders > Fiction
Slavery > Fiction > 
Slavery > Fiction
Slaves > Fiction > 
Slaves > Fiction
Southern States > Fiction > 
Southern States > Fiction
Time travel > Fiction > 
Time travel > Fiction","Your library","race,time travel,feminism,novel"
"Grimoires: A History of Magic Books","Owen Davies","Davies, Owen",2009,,,[0199204519],"Oxford University Press, USA (2009), Edition: First Edition, Hardcover, 384 pages",,0,,"2014-01-21 18:50:23",1,,"Your library","grimoire,occult,history,nonfiction,RECOMMENDER:Jesse,REFERENCES:0486232115,REFERENCES:0892541520,REFERENCES:0877282072,REFERENCES:1905297653,REFERENCES:157863220X,REFERENCES:1582344167,REFERENCES:0486228800,REFERENCES:1257767852,REFERENCES:1578631785,REFERENCES:1578632021"
"Finnegans Wake (Wordsworth Classics)","James Joyce","Joyce, James",2012,,,[1840226617],"Wordsworth (2012), Paperback, 656 pages",,0,,"2014-01-21 18:50:24",1,"Dreams > Fiction > 
Dreams > Fiction
Dublin (Ireland) > Fiction > 
Dublin (Ireland) > Fiction
Experimental fiction > 
Experimental fiction
Fiction in English > 
Irish fiction > In English > 20th century > 
Older men > Fiction > 
Older men > Fiction
Psychological fiction > 
Psychological fiction","Your library","nonsense,ireland,stream of consciousness,novel"
